ID,Customer Name,Customer Type,Customer Group,Territory,Email Id,Billing Currency,Customer Primary Address
Abbvie Inc,Abbvie Inc,Company,Commercial,United States,Abbvie.us.usap@ironmountain.com,,Abbvie Inc-Billing
Galapagos NV - 1,Galapagos NV,Company,Commercial,Rest Of The World,,USD,Galapagos NV - 1-Billing
"Gilead Sciences, Inc.","Gilead Sciences, Inc.",Company,Commercial,United States,,USD,
A*STAR Research Entities,A*STAR Research Entities,Company,Commercial,Rest Of The World,,,A*STAR Research Entities-Billing
Prelude Therapeutics Inc,Prelude Therapeutics Inc,Company,Commercial,United States,pranav.patel510@gmail.com,,Prelude Therapeutics Inc-Billing
"10X Genomics, Inc.","10X Genomics, Inc.",Company,Commercial,United States,AccountsPayable@10xGenomics.com,USD,
3Way Return Goods,3Way Return Goods,Company,Commercial,Rest Of The World,apinbound01@gmail.com,USD,
A.S. Chemical Laboratories Inc,A.S. Chemical Laboratories Inc,Company,Commercial,Rest Of The World,sshah@aschemicals.com,USD,
AAPharmasyn,AAPharmasyn,Company,Commercial,United States,helen@aapharmasyn.com,USD,
"AAPharmasyn, LLC","AAPharmasyn, LLC",Company,Commercial,United States,ruslan.pryadun@aapharmasyn.com,USD,
"Aberjona Laboratories, Inc","Aberjona Laboratories, Inc",Company,Commercial,United States,info@aberjonalabs.com,USD,
Abzena (Bristol) LLC,Abzena (Bristol) LLC,Company,Commercial,United States,apbristol@abzena.com,USD,
"Acme Bioscience, Inc.","Acme Bioscience, Inc.",Company,Commercial,United States,mail@acmeca.com,USD,
ACPHS,ACPHS,Company,Commercial,Rest Of The World,Bruce.Hay@acphs.edu; Scott.Pleat@acphs.edu; Diane.Vincent@acphs.edu,USD,
"ActivX Biosciences, Inc.","ActivX Biosciences, Inc.",Company,Commercial,Rest Of The World,szilviah@activx.com,USD,
Actylis Eugene,Actylis Eugene,Company,Commercial,United States,info.cascade@actylis.com,USD,
ADARx Pharmaceuticals Inc.,ADARx Pharmaceuticals Inc.,Company,Commercial,United States,AP@adarx.com; rcorbaley@adarx.com,USD,
Advanced ChemBlocks Inc,Advanced ChemBlocks Inc,Company,Commercial,United States,Invoices@achemblock.com,USD,
Advanced Molecular Technologies ltd,Advanced Molecular Technologies ltd,Company,Commercial,United States,sales@amtechpl.com,USD,
Agios Pharmaceuticals Inc,Agios Pharmaceuticals Inc,Company,Commercial,United States,accounts.payable@agios.com,USD,
AIM BioSciences,AIM BioSciences,Company,Commercial,United States,ahao@aimbiosciences.com,USD,
Aktis Oncology Inc,Aktis Oncology Inc,Company,Commercial,United States,acctspayable@aktisoncology.com,USD,
Albany Molecular Resrch HRC Pvt Ltd,Albany Molecular Resrch HRC Pvt Ltd,Company,Commercial,United States,Venu.Posupo@amriglobal.com,USD,
Albemarle Corporation - Yunqi Liu,Albemarle Corporation - Yunqi Liu,Company,Commercial,United States,Yunqi.Liu@albemarle.com,USD,
Albert Einstein College of Medicine,Albert Einstein College of Medicine,Company,Commercial,United States,einstein@edmamericas.com,USD,
Alchem Laboratories Corporation,Alchem Laboratories Corporation,Company,Commercial,United States,accounting@alchem.com,USD,
"Algen Biotechnologies, Inc.","Algen Biotechnologies, Inc.",Company,Commercial,United States,kochuan@algenbio.com,USD,
Aligos BVBA,Aligos BVBA,Company,Commercial,United States,APBelgium@aligos.com,USD,
Aligos Therapeutics,Aligos Therapeutics,Company,Commercial,United States,invoicing.us@aligos.com,USD,
"Alkermes, Inc.","Alkermes, Inc.",Company,Commercial,United States,accountspayable@alkermes.com,USD,
Allorion Therapeutics Inc,Allorion Therapeutics Inc,Company,Commercial,United States,azhu@alloriontherapeutics.com,USD,
ALSACHIM,ALSACHIM,Company,Commercial,United States,toufik.fellague@alsachim.com,USD,
Ambient Photonics Inc.,Ambient Photonics Inc.,Company,Commercial,United States,wes.nay@warnerbabcock.com,USD,
"Ambrx, Inc.","Ambrx, Inc.",Company,Commercial,United States,ap@ambrx.com,USD,
Ames National Laboratory,Ames National Laboratory,Company,Commercial,United States,nhowe@ameslab.gov,USD,
Amherst College,Amherst College,Company,Commercial,United States,dehansen@amherst.edu,USD,
AN2 Therapeutics,AN2 Therapeutics,Company,Commercial,United States,vhernandez@an2therapeutics.com,USD,
Ananke Therapeutics Inc,Ananke Therapeutics Inc,Company,Commercial,United States,accounting@ananketx.com,USD,
Angion Biomedica Corporation,Angion Biomedica Corporation,Company,Commercial,United States,jjohnson@angion.com,USD,
Anglia Ruskin University,Anglia Ruskin University,Company,Commercial,United States,hemsfinance@aru.ac.uk,USD,
Ankaa therapeutics,Ankaa therapeutics,Company,Commercial,United States,jsingh@ankaatx.com,USD,
"Anokion US, Inc.","Anokion US, Inc.",Company,Commercial,United States,accounts-us@anokion.com,USD,
Anthem Bioscience Pvt Ltd,Anthem Bioscience Pvt Ltd,Company,Commercial,United States,arunkumar.v1@anthembio.com,USD,
Aonetech,Aonetech,Company,Commercial,United States,aone8540@nate.com,USD,
Apicore US LLC.,Apicore US LLC.,Company,Commercial,United States,kalyani.medboyina@apicore.com,USD,
Apotex Pharmachem Inc.,Apotex Pharmachem Inc.,Company,Commercial,United States,accounting@apotexpharmachem.com,USD,
"Apple Science Co., Ltd.","Apple Science Co., Ltd.",Company,Commercial,United States,incoman@appchem.co.kr,USD,
Aptuit (Verona) SRL,Aptuit (Verona) SRL,Company,Commercial,United States,DONATVERGMVendor_Invoice@evotec.com,USD,
Aragen Life Sciences Pvt Ltd,Aragen Life Sciences Pvt Ltd,Company,Commercial,United States,ashwin.jha@aragen.com,USD,
Aramco Services Co.,Aramco Services Co.,Company,Commercial,United States,deatria.bookman@aramcoamericas.com,USD,
Arbutus Biopharma Corp.,Arbutus Biopharma Corp.,Company,Commercial,United States,ap@arbutusbio.com,USD,
"Arcus Biosciences, Inc.","Arcus Biosciences, Inc.",Company,Commercial,United States,APInvoices@Arcusbio.com,USD,
Ardelyx Inc,Ardelyx Inc,Company,Commercial,United States,ap@ardelyx.com,USD,
Argonne National Laboratory,Argonne National Laboratory,Company,Commercial,United States,nochoa@anl.gov,USD,
Arkansas State University,Arkansas State University,Company,Commercial,United States,lkihlstadius@astate.edu; malam@astate.edu,USD,
Arrakis Therapeutics Inc,Arrakis Therapeutics Inc,Company,Commercial,United States,invoices@arrakistx.com,USD,
Array BioPharma Inc.,Array BioPharma Inc.,Company,Commercial,United States,apinvoices@pfizer.com,USD,
"Arrowhead Madison, Inc.","Arrowhead Madison, Inc.",Company,Commercial,United States,MSNPAYABLES@ARROWHEADPHARMA.COM,USD,
"AS ONE INTERNATIONAL, INC.","AS ONE INTERNATIONAL, INC.",Company,Commercial,United States,accounting@asone-int.com,USD,
